hashtable_size,#_of_collisions,%_collisions_per_entry,#_of_empty_entries
1,29721,99.997,0
2,15090,50.770,0
3,9946,33.463,0
4,7628,25.664,0
5,6012,20.227,0
6,5064,17.038,0
7,4346,14.622,0
8,3889,13.085,0
9,3372,11.345,0
10,3078,10.356,0
15,2022,6.803,0
20,1612,5.424,0
25,1245,4.189,0
30,1037,3.489,0
35,914,3.075,0
40,809,2.722,0
45,702,2.362,0
50,649,2.184,0
55,616,2.073,0
60,549,1.847,0
65,524,1.763,0
70,469,1.578,0
75,453,1.524,0
80,428,1.440,0
85,400,1.346,0
90,367,1.235,0
95,361,1.215,0
100,343,1.154,0
150,237,0.797,0
200,185,0.622,0
250,160,0.538,0
300,128,0.431,0
350,118,0.397,0
400,106,0.357,0
450,94,0.316,0
500,92,0.310,0
550,99,0.333,0
600,75,0.252,0
650,72,0.242,0
700,68,0.229,0
750,70,0.236,0
800,67,0.225,0
850,66,0.222,0
900,54,0.182,0
950,51,0.172,0
1000,51,0.172,0
1100,58,0.195,0
1200,45,0.151,0
1300,41,0.138,0
1400,37,0.124,0
1500,45,0.151,0
1600,38,0.128,0
1700,38,0.128,0
1800,38,0.128,0
1900,30,0.101,0
2000,34,0.114,0
2100,33,0.111,0
2200,33,0.111,0
2300,29,0.098,0
2400,29,0.098,0
2500,27,0.091,0
2600,25,0.084,0
2700,28,0.094,0
2800,26,0.087,0
2900,23,0.077,1
3000,29,0.098,1
3100,25,0.084,0
3200,28,0.094,1
3300,26,0.087,3
3400,22,0.074,0
3500,23,0.077,0
3600,22,0.074,2
3700,26,0.087,1
3800,22,0.074,2
3900,21,0.071,1
4000,22,0.074,3
4100,19,0.064,6
4200,19,0.064,7
4300,24,0.081,4
4400,22,0.074,7
4500,23,0.077,5
4600,17,0.057,11
4700,21,0.071,7
4800,19,0.064,15
4900,19,0.064,12
5000,16,0.054,25
5100,19,0.064,24
5200,17,0.057,20
5300,17,0.057,32
5400,21,0.071,42
5500,18,0.061,41
5600,18,0.061,44
5700,17,0.057,50
5800,14,0.047,62
5900,19,0.064,53
6000,21,0.071,64
6100,16,0.054,77
6200,17,0.057,79
6300,17,0.057,94
6400,17,0.057,94
6500,15,0.050,89
6600,16,0.054,121
6700,18,0.061,112
6800,15,0.050,113
6900,16,0.054,123
7000,18,0.061,123
7100,17,0.057,138
7200,16,0.054,163
7300,15,0.050,183
7400,14,0.047,198
7500,15,0.050,208
7600,14,0.047,219
7700,13,0.044,209
7800,14,0.047,222
7900,15,0.050,241
8000,15,0.050,237
8100,15,0.050,293
8200,15,0.050,277
8300,14,0.047,306
8400,13,0.044,310
8500,15,0.050,316
8600,13,0.044,347
8700,16,0.054,350
8800,17,0.057,374
8900,15,0.050,406
9000,16,0.054,436
9100,14,0.047,448
9200,15,0.050,466
9300,15,0.050,475
9400,12,0.040,500
9500,12,0.040,529
9600,14,0.047,568
9700,14,0.047,549
9800,12,0.040,626
9900,12,0.040,646
10000,12,0.040,637
11000,14,0.047,931
12000,16,0.054,1243
13000,13,0.044,1611
14000,12,0.040,1980
15000,10,0.034,2422
16000,10,0.034,2837
17000,12,0.040,3398
18000,11,0.037,3928
19000,11,0.037,4469
20000,10,0.034,5018
21000,9,0.030,5676
22000,9,0.030,6284
23000,10,0.034,6940
24000,12,0.040,7648
25000,8,0.027,8298
26000,10,0.034,8957
27000,8,0.027,9762
28000,10,0.034,10518
29000,9,0.030,11201
30000,9,0.030,12007
31000,9,0.030,12783
32000,8,0.027,13549
33000,8,0.027,14415
34000,9,0.030,15200
35000,8,0.027,15883
36000,8,0.027,16780
37000,8,0.027,17573
38000,8,0.027,18414
39000,8,0.027,19324
40000,7,0.024,20115
41000,8,0.027,20941
42000,9,0.030,21854
43000,8,0.027,22636
44000,8,0.027,23501
45000,7,0.024,24531
46000,8,0.027,25220
47000,8,0.027,26069
48000,9,0.030,27048
49000,8,0.027,28022
50000,8,0.027,28867
51000,8,0.027,29729
52000,8,0.027,30569
53000,7,0.024,31573
54000,7,0.024,32463
55000,7,0.024,33355
56000,9,0.030,34240
57000,6,0.020,35245
58000,7,0.024,36149
59000,8,0.027,37030
60000,8,0.027,37920
61000,7,0.024,38870
62000,8,0.027,39708
63000,7,0.024,40730
64000,7,0.024,41641
65000,8,0.027,42516
66000,8,0.027,43529
67000,10,0.034,44481
68000,8,0.027,45415
69000,7,0.024,46277
70000,7,0.024,47168
71000,8,0.027,48244
72000,7,0.024,49103
73000,7,0.024,50070
74000,7,0.024,50960
75000,8,0.027,51958
76000,7,0.024,52946
77000,9,0.030,53842
78000,7,0.024,54820
79000,7,0.024,55760
80000,6,0.020,56663
81000,6,0.020,57754
82000,7,0.024,58582
83000,7,0.024,59545
84000,7,0.024,60565
85000,9,0.030,61592
86000,8,0.027,62448
87000,7,0.024,63451
88000,7,0.024,64310
89000,7,0.024,65493
90000,7,0.024,66368
91000,7,0.024,67252
92000,8,0.027,68139
93000,7,0.024,69205
94000,7,0.024,70177
95000,7,0.024,71132
96000,6,0.020,72043
97000,8,0.027,72989
98000,8,0.027,74060
99000,8,0.027,75011
100000,8,0.027,75956
